date,max_temperature_c,min_temperature_c,precipitation_mm,max_wind_speed_kmh,city,average_temperature_c,temperature_range_c,year,month,month_name,is_rainy_day
2021-01-01,26.6,17.5,0.0,9.7,Bangkok,22.0,9.1,2021,1,January,False
2021-01-02,27.4,17.9,0.0,11.4,Bangkok,22.6,9.5,2021,1,January,False
2021-01-03,29.3,19.1,0.0,11.5,Bangkok,24.2,10.2,2021,1,January,False
2021-01-04,30.7,20.8,0.0,11.7,Bangkok,25.8,9.9,2021,1,January,False
2021-01-05,30.2,22.0,0.0,10.8,Bangkok,26.1,8.2,2021,1,January,False
2021-01-06,32.1,23.0,0.0,10.7,Bangkok,27.6,9.1,2021,1,January,False
2021-01-07,32.2,22.4,0.0,9.8,Bangkok,27.3,9.8,2021,1,January,False
2021-01-08,31.4,23.0,0.0,21.1,Bangkok,27.2,8.4,2021,1,January,False
2021-01-09,28.6,19.9,0.0,17.3,Bangkok,24.2,8.7,2021,1,January,False
2021-01-10,29.5,18.9,0.0,10.3,Bangkok,24.2,10.6,2021,1,January,False
2021-01-11,29.5,18.5,0.0,15.5,Bangkok,24.0,11.0,2021,1,January,False
2021-01-12,25.5,15.7,0.0,15.7,Bangkok,20.6,9.8,2021,1,January,False
2021-01-13,25.6,15.4,0.0,11.2,Bangkok,20.5,10.2,2021,1,January,False
2021-01-14,28.6,16.3,0.0,10.7,Bangkok,22.5,12.3,2021,1,January,False
2021-01-15,30.5,17.7,0.0,11.2,Bangkok,24.1,12.8,2021,1,January,False
2021-01-16,29.8,20.1,0.0,10.2,Bangkok,25.0,9.7,2021,1,January,False
2021-01-17,32.1,21.4,0.1,16.8,Bangkok,26.8,10.7,2021,1,January,True
2021-01-18,28.8,19.5,0.0,20.9,Bangkok,24.2,9.3,2021,1,January,False
2021-01-19,28.0,16.4,0.0,11.8,Bangkok,22.2,11.6,2021,1,January,False
2021-01-20,29.4,17.5,0.0,7.9,Bangkok,23.4,11.9,2021,1,January,False
2021-01-21,30.5,17.3,0.0,9.7,Bangkok,23.9,13.2,2021,1,January,False
2021-01-22,31.7,18.0,0.0,14.8,Bangkok,24.8,13.7,2021,1,January,False
2021-01-23,32.5,20.1,0.0,15.3,Bangkok,26.3,12.4,2021,1,January,False
2021-01-24,31.2,22.6,0.0,12.6,Bangkok,26.9,8.6,2021,1,January,False
2021-01-25,31.3,23.2,0.3,9.6,Bangkok,27.2,8.1,2021,1,January,True
2021-01-26,33.3,23.3,0.2,11.9,Bangkok,28.3,10.0,2021,1,January,True
2021-01-27,31.8,25.2,1.1,11.9,Bangkok,28.5,6.6,2021,1,January,True
2021-01-28,33.6,24.9,0.5,12.2,Bangkok,29.2,8.7,2021,1,January,True
2021-01-29,32.0,23.9,0.0,19.8,Bangkok,28.0,8.1,2021,1,January,False
2021-01-30,31.6,22.3,0.0,12.2,Bangkok,27.0,9.3,2021,1,January,False
2021-01-31,32.2,21.5,0.0,12.6,Bangkok,26.8,10.7,2021,1,January,False
2021-02-01,32.8,21.7,0.0,10.1,Bangkok,27.2,11.1,2021,2,February,False
2021-02-02,33.2,22.1,0.0,11.9,Bangkok,27.6,11.1,2021,2,February,False
2021-02-03,34.2,22.7,0.0,16.6,Bangkok,28.4,11.5,2021,2,February,False
2021-02-04,32.7,23.0,0.0,18.8,Bangkok,27.8,9.7,2021,2,February,False
2021-02-05,32.7,20.7,0.0,10.3,Bangkok,26.7,12.0,2021,2,February,False
2021-02-06,33.1,21.1,0.0,9.6,Bangkok,27.1,12.0,2021,2,February,False
2021-02-07,32.3,22.8,0.0,13.0,Bangkok,27.6,9.5,2021,2,February,False
2021-02-08,31.8,24.3,0.3,13.7,Bangkok,28.0,7.5,2021,2,February,True
2021-02-09,28.0,23.5,19.3,13.7,Bangkok,25.8,4.5,2021,2,February,True
2021-02-10,30.4,22.7,2.3,11.5,Bangkok,26.6,7.7,2021,2,February,True
2021-02-11,31.5,20.8,0.0,10.0,Bangkok,26.2,10.7,2021,2,February,False
2021-02-12,32.1,21.0,0.0,9.8,Bangkok,26.6,11.1,2021,2,February,False
