date,max_temperature_c,min_temperature_c,precipitation_mm,max_wind_speed_kmh,city,average_temperature_c,temperature_range_c,year,month,month_name,is_rainy_day
2025-01-01,33.6,22.4,0.0,7.0,Bangkok,28.0,11.2,2025,1,January,False
2025-01-02,33.7,22.0,0.0,10.9,Bangkok,27.8,11.7,2025,1,January,False
2025-01-03,33.6,22.7,0.0,11.5,Bangkok,28.2,10.9,2025,1,January,False
2025-01-04,33.9,22.4,0.0,7.7,Bangkok,28.2,11.5,2025,1,January,False
2025-01-05,32.5,22.4,0.0,11.2,Bangkok,27.4,10.1,2025,1,January,False
2025-01-06,32.5,20.5,0.0,7.7,Bangkok,26.5,12.0,2025,1,January,False
2025-01-07,33.2,21.0,0.0,6.9,Bangkok,27.1,12.2,2025,1,January,False
2025-01-08,34.1,22.9,0.0,8.8,Bangkok,28.5,11.2,2025,1,January,False
2025-01-09,33.9,24.3,0.0,13.0,Bangkok,29.1,9.6,2025,1,January,False
2025-01-10,31.1,23.2,0.0,15.5,Bangkok,27.2,7.9,2025,1,January,False
2025-01-11,30.1,21.8,0.0,14.7,Bangkok,26.0,8.3,2025,1,January,False
2025-01-12,29.0,19.1,0.0,13.4,Bangkok,24.0,9.9,2025,1,January,False
2025-01-13,29.4,18.5,0.0,8.6,Bangkok,24.0,10.9,2025,1,January,False
2025-01-14,31.5,18.5,0.0,10.1,Bangkok,25.0,13.0,2025,1,January,False
2025-01-15,34.6,20.6,0.0,15.2,Bangkok,27.6,14.0,2025,1,January,False
2025-01-16,32.9,23.9,0.0,12.7,Bangkok,28.4,9.0,2025,1,January,False
2025-01-17,32.3,22.8,0.0,13.4,Bangkok,27.6,9.5,2025,1,January,False
2025-01-18,33.8,21.5,0.0,9.8,Bangkok,27.6,12.3,2025,1,January,False
2025-01-19,33.6,20.9,0.0,8.0,Bangkok,27.2,12.7,2025,1,January,False
2025-01-20,34.2,21.5,0.0,5.8,Bangkok,27.8,12.7,2025,1,January,False
2025-01-21,34.2,22.2,0.0,7.4,Bangkok,28.2,12.0,2025,1,January,False
2025-01-22,34.7,22.1,0.0,7.2,Bangkok,28.4,12.6,2025,1,January,False
2025-01-23,35.3,22.9,0.0,10.9,Bangkok,29.1,12.4,2025,1,January,False
2025-01-24,36.0,22.9,0.0,9.2,Bangkok,29.4,13.1,2025,1,January,False
2025-01-25,35.8,22.8,0.0,12.4,Bangkok,29.3,13.0,2025,1,January,False
2025-01-26,36.4,23.8,0.0,8.8,Bangkok,30.1,12.6,2025,1,January,False
2025-01-27,29.4,22.6,0.2,18.2,Bangkok,26.0,6.8,2025,1,January,True
2025-01-28,30.7,22.7,0.0,12.6,Bangkok,26.7,8.0,2025,1,January,False
2025-01-29,30.8,21.6,0.0,11.8,Bangkok,26.2,9.2,2025,1,January,False
2025-01-30,33.2,21.8,0.0,8.8,Bangkok,27.5,11.4,2025,1,January,False
2025-01-31,34.8,22.1,0.0,11.9,Bangkok,28.4,12.7,2025,1,January,False
2025-02-01,35.7,23.1,0.0,14.6,Bangkok,29.4,12.6,2025,2,February,False
2025-02-02,35.7,23.3,0.0,11.3,Bangkok,29.5,12.4,2025,2,February,False
2025-02-03,35.3,23.9,0.0,10.9,Bangkok,29.6,11.4,2025,2,February,False
2025-02-04,34.0,25.7,1.0,12.9,Bangkok,29.8,8.3,2025,2,February,True
2025-02-05,35.0,24.9,0.0,10.3,Bangkok,30.0,10.1,2025,2,February,False
2025-02-06,33.9,24.5,0.0,11.4,Bangkok,29.2,9.4,2025,2,February,False
2025-02-07,32.9,24.7,0.1,9.0,Bangkok,28.8,8.2,2025,2,February,True
2025-02-08,34.5,25.5,0.0,13.6,Bangkok,30.0,9.0,2025,2,February,False
2025-02-09,32.6,23.3,0.0,14.0,Bangkok,28.0,9.3,2025,2,February,False
2025-02-10,33.9,22.4,0.0,8.5,Bangkok,28.2,11.5,2025,2,February,False
2025-02-11,36.0,22.8,0.0,6.6,Bangkok,29.4,13.2,2025,2,February,False
2025-02-12,37.4,23.6,0.0,12.9,Bangkok,30.5,13.8,2025,2,February,False
2025-02-13,36.8,24.9,0.0,14.9,Bangkok,30.8,11.9,2025,2,February,False
2025-02-14,35.1,25.0,0.0,10.7,Bangkok,30.0,10.1,2025,2,February,False
2025-02-15,37.0,25.0,0.0,11.3,Bangkok,31.0,12.0,2025,2,February,False
2025-02-16,37.3,25.3,0.0,15.2,Bangkok,31.3,12.0,2025,2,February,False
2025-02-17,32.1,26.6,3.1,13.2,Bangkok,29.4,5.5,2025,2,February,True
2025-02-18,31.9,25.2,4.9,11.6,Bangkok,28.6,6.7,2025,2,February,True
2025-02-19,32.4,22.8,20.7,9.8,Bangkok,27.6,9.6,2025,2,February,True
2025-02-20,32.4,23.1,4.2,6.5,Bangkok,27.8,9.3,2025,2,February,True
2025-02-21,32.4,24.9,2.0,13.1,Bangkok,28.6,7.5,2025,2,February,True
2025-02-22,34.8,23.2,3.8,12.1,Bangkok,29.0,11.6,2025,2,February,True
2025-02-23,35.9,25.3,1.6,13.4,Bangkok,30.6,10.6,2025,2,February,True
2025-02-24,27.9,24.2,14.7,10.4,Bangkok,26.0,3.7,2025,2,February,True
2025-02-25,28.9,23.1,1.5,13.4,Bangkok,26.0,5.8,2025,2,February,True
2025-02-26,32.7,21.8,0.0,13.5,Bangkok,27.2,10.9,2025,2,February,False
2025-02-27,35.0,24.1,0.1,9.1,Bangkok,29.6,10.9,2025,2,February,True
2025-02-28,36.2,25.7,1.2,10.1,Bangkok,31.0,10.5,2025,2,February,True
2025-03-01,34.5,26.5,0.1,10.6,Bangkok,30.5,8.0,2025,3,March,True
2025-03-02,35.6,27.0,0.0,11.4,Bangkok,31.3,8.6,2025,3,March,False
2025-03-03,34.6,27.3,0.0,12.8,Bangkok,31.0,7.3,2025,3,March,False
2025-03-04,34.7,27.4,0.0,13.1,Bangkok,31.0,7.3,2025,3,March,False
2025-03-05,35.6,27.2,0.0,12.5,Bangkok,31.4,8.4,2025,3,March,False
2025-03-06,35.0,26.7,0.0,12.4,Bangkok,30.8,8.3,2025,3,March,False
2025-03-07,33.7,24.5,6.5,15.6,Bangkok,29.1,9.2,2025,3,March,True
2025-03-08,32.8,24.0,0.7,12.1,Bangkok,28.4,8.8,2025,3,March,True
2025-03-09,34.3,23.8,0.0,9.6,Bangkok,29.0,10.5,2025,3,March,False
2025-03-10,36.7,25.9,0.0,11.2,Bangkok,31.3,10.8,2025,3,March,False
2025-03-11,37.1,27.9,2.3,11.0,Bangkok,32.5,9.2,2025,3,March,True
2025-03-12,35.3,27.3,0.5,11.8,Bangkok,31.3,8.0,2025,3,March,True
2025-03-13,34.7,28.3,7.3,12.3,Bangkok,31.5,6.4,2025,3,March,True
2025-03-14,35.2,27.1,0.6,11.2,Bangkok,31.2,8.1,2025,3,March,True
2025-03-15,35.4,27.5,0.1,9.8,Bangkok,31.4,7.9,2025,3,March,True
2025-03-16,36.7,27.6,0.3,9.3,Bangkok,32.2,9.1,2025,3,March,True
2025-03-17,34.8,27.8,4.3,11.3,Bangkok,31.3,7.0,2025,3,March,True
2025-03-18,34.8,26.1,1.4,10.7,Bangkok,30.4,8.7,2025,3,March,True
2025-03-19,34.7,26.0,0.0,15.0,Bangkok,30.4,8.7,2025,3,March,False
2025-03-20,33.8,23.6,0.0,9.4,Bangkok,28.7,10.2,2025,3,March,False
2025-03-21,33.6,22.7,0.0,9.4,Bangkok,28.2,10.9,2025,3,March,False
2025-03-22,36.2,24.2,0.0,8.6,Bangkok,30.2,12.0,2025,3,March,False
2025-03-23,37.9,25.6,0.0,14.4,Bangkok,31.8,12.3,2025,3,March,False
2025-03-24,37.1,26.4,0.8,10.8,Bangkok,31.8,10.7,2025,3,March,True
2025-03-25,36.7,27.1,0.0,12.6,Bangkok,31.9,9.6,2025,3,March,False
2025-03-26,36.4,28.0,2.9,12.6,Bangkok,32.2,8.4,2025,3,March,True
2025-03-27,36.0,28.2,0.2,12.1,Bangkok,32.1,7.8,2025,3,March,True
2025-03-28,38.6,27.5,0.5,13.5,Bangkok,33.0,11.1,2025,3,March,True
2025-03-29,36.8,27.6,0.3,12.9,Bangkok,32.2,9.2,2025,3,March,True
2025-03-30,34.7,25.7,9.0,11.8,Bangkok,30.2,9.0,2025,3,March,True
