city,month,month_name,monthly_average_temperature_c,monthly_max_temperature_c,monthly_min_temperature_c,total_precipitation_mm,rainy_days,strongest_wind_kmh
Bangkok,1,January,27.5,36.4,18.5,0.2,1,18.2
Bangkok,2,February,29.2,37.4,21.8,58.9,13,15.2
Bangkok,3,March,30.8,38.6,22.7,61.6,18,15.6
Bangkok,4,April,30.8,38.7,24.5,87.7,25,16.2
Bangkok,5,May,29.1,35.8,24.3,257.0,30,15.4
Bangkok,6,June,28.9,34.3,24.3,184.5,30,15.2
Bangkok,7,July,28.4,32.9,24.7,217.0,31,15.2
Bangkok,8,August,28.8,35.5,24.1,183.8,27,16.4
Bangkok,9,September,28.0,33.2,24.2,263.4,30,15.8
Bangkok,10,October,28.3,33.2,23.6,189.6,30,15.6
Bangkok,11,November,26.5,34.1,17.5,162.4,17,14.5
Bangkok,12,December,27.9,35.1,20.6,9.2,9,15.2
London,1,January,4.2,12.6,-4.5,83.8,18,33.5
London,2,February,5.5,15.0,-1.2,49.1,15,25.7
London,3,March,8.6,19.2,-1.3,12.7,13,20.0
London,4,April,12.5,25.9,3.9,23.9,8,25.1
London,5,May,15.2,28.5,5.1,27.5,13,26.1
London,6,June,19.6,32.0,9.2,40.7,17,25.6
London,7,July,20.3,33.6,12.4,75.5,21,24.2
London,8,August,19.2,31.0,11.6,32.6,15,24.0
London,9,September,15.3,25.4,7.2,61.3,15,31.6
London,10,October,12.4,18.6,4.9,61.7,17,31.5
London,11,November,9.3,17.2,-1.4,76.5,23,25.9
London,12,December,7.6,14.4,-1.3,68.1,16,30.6
New York,1,January,-2.0,11.0,-16.7,30.3,9,29.9
New York,2,February,0.5,13.8,-9.6,79.4,15,28.7
New York,3,March,7.3,26.4,-7.3,162.5,13,30.4
New York,4,April,12.2,27.1,-1.6,73.1,14,30.4
New York,5,May,16.9,30.1,8.5,201.1,21,25.6
New York,6,June,23.8,40.4,9.7,74.9,19,20.8
New York,7,July,27.1,39.5,18.4,111.4,19,22.7
New York,8,August,23.5,35.3,14.3,23.8,11,22.6
New York,9,September,21.1,30.2,12.0,119.5,14,20.4
New York,10,October,14.0,29.8,3.5,110.5,12,28.6
New York,11,November,7.4,18.5,-0.9,49.7,14,28.2
New York,12,December,-0.3,14.5,-11.6,79.9,12,30.6
Tel Aviv,1,January,14.9,23.1,6.1,18.6,9,18.8
Tel Aviv,2,February,13.1,21.5,2.0,41.3,16,34.9
Tel Aviv,3,March,17.8,32.6,8.5,22.2,11,33.5
Tel Aviv,4,April,20.1,38.7,10.7,8.0,12,31.3
Tel Aviv,5,May,22.2,36.9,14.3,6.7,6,24.7
Tel Aviv,6,June,24.8,30.7,18.9,1.1,5,18.4
Tel Aviv,7,July,27.6,33.7,22.0,1.1,5,17.4
Tel Aviv,8,August,28.6,35.3,21.9,0.8,3,19.1
Tel Aviv,9,September,26.9,32.8,21.8,3.3,6,19.6
Tel Aviv,10,October,24.1,33.6,17.5,4.4,3,20.1
Tel Aviv,11,November,22.3,34.0,13.5,26.6,8,21.5
Tel Aviv,12,December,16.6,29.7,7.3,144.8,20,35.2
